uasg,num_licitacao
160421,32017
160423,82018
160426,12009
160428,22015
160428,52015
160430,52014
160432,42012
160432,62009
160440,172014
160441,182013
160446,42009
160447,292013
160447,492012
160447,522011
160447,1522006
160454,22017
160454,32016
160457,242010
160469,42017
160476,22018
160476,152010
160482,92019
160482,482016
160484,32011
160495,62006
160495,392008
160515,12013
160515,122010
160521,162019
160522,52008
160523,42019
160524,62011
160525,92019
160526,12010
160526,82020
160528,382013
160530,192020
160536,102018
160536,142013
160548,42016
168001,152013
168004,1352010
168005,92011
168005,882020
168006,22018
168008,322014
170009,102009
170010,52007
170025,32013
170025,382014
170040,102018
170041,32011
170045,22011
170045,72014
170045,72017
170055,82018
170059,72013
170066,62016
170103,42015
170106,102008
170111,32017
170116,82007
170138,22013
170139,12014
170146,32013
170158,52014
170161,102009
170161,112013
170162,262013
170166,122007
170168,82012
170175,202007
170177,132014
170178,42014
170178,202009
170180,22019
170183,72021
170184,82015
170192,12020
170195,12013
170247,12008
170259,52010
170263,22013
170312,292007
170347,42013
170394,302015
170531,162014
179085,162015
179085,982013
179085,1252015
179085,1462009
179087,82008
179087,822010
179102,22018
180002,12016
180002,192012
180002,232011
180002,272011
183038,172009
183038,292014
183039,142012
183039,332012
183039,552013
183039,562006
183039,622010
193007,12010
193008,22015
193009,62017
193009,62020
193028,232008
193099,122015
193105,52016
193110,12012
193112,92021
193117,12017
193117,52020
193121,202011
193125,82008
193126,62014
193347,112007
194006,132012
194010,32015
194012,22016
194014,32009
194018,212011
194020,32011
194020,72009
194044,62010
194044,102012
194048,82013
194068,162010
194074,42020
194074,82012
195001,432009
195002,82011
195006,632010
195011,62015
195015,92014
200005,152018
200008,152010
200009,172007
200009,562012
200014,612009
200015,402008
200023,222012
200026,42009
200030,122008
200031,22019
200033,12008
200043,22016
200043,52019
200044,292011
200049,362017
200050,222012
200051,242006
200054,192016
200054,242012
200062,72017
200066,22018
200066,112018
200069,82018
200071,22020
200071,82014
200085,72018
200085,82016
200086,12008
200090,132019
200090,202018
200090,232016
200099,52013
200100,142014
200100,582012
200100,632020
200114,12011
200115,62020
200115,92012
200116,122021
200118,92021
200126,42009
200130,122008
200141,42010
200200,112019
200200,172019
200200,752013
200204,42014
200204,92017
200208,42020
200233,72013
200248,52014
200331,32021
200344,12014
200344,32015
200356,32016
200360,142013
200380,62016
200394,52017
200406,12012
201014,22016
203003,292015
240101,332007
240106,2662010
240106,3002009
240106,5362014
240106,12312008
240107,1272010
240114,102012
240120,282009
240125,202016
240125,362011
240126,212007
240128,172011
240129,22009
240129,172010
244001,12017
245209,72021
245209,172013
245209,542017
245209,1372013
250005,62011
250005,402020
250005,1262010
250005,2152007
250016,22010
250019,102012
250023,92010
250023,112018
250025,52021
250030,62011
250042,952014
250042,982008
250052,202017
250052,272021
250052,462016
250052,2062008
250052,2452012
250052,2472017
250052,2672015
250052,3012009
250057,632020
250057,662010
250057,1192020
250057,1882013
250059,582016
250061,182008
250103,12014
250106,112010
250106,1202016
250110,212016
250110,292016
253002,112008
253005,32011
253006,22011
253022,32017
253026,62016
254420,572009
254420,752016
254420,1392008
254420,1532011
254421,172014
254423,362013
254423,652012
254438,452012
254438,572014
254438,622017
254438,752008
254438,752010
254445,932021
254445,1112008
254445,1112021
254445,1152020
254445,1312019
254445,1392015
254445,2292012
254445,2722015
254446,22021
254446,42019
254446,502013
254446,602010
254446,622016
254446,782015
254446,842006
254446,912014
254446,1182006
254446,1422014
254446,1452014
254446,1722012
254447,242018
254447,372011
254447,432009
254447,682019
254447,692018
254448,382011
254448,382015
254448,742008
254448,762007
254448,1192008
254450,152017
254450,262013
254462,132010
254463,242011
254463,262013
254463,452018
254501,12019
255001,52016
255008,92009
255009,22015
255009,82016
255011,112013
255011,662009
255012,362008
255013,82017
255013,112007
255013,822008
255013,1212010
255014,772007
255014,1322008
255016,62010
255016,82008
255016,192009
255016,412008
255018,12018
255022,142007
255022,402009
255022,462009
257003,82013
257003,82017
257003,132016
257003,182018
257003,392011
257003,922014
257003,1952016
257005,362008
257022,92015
257023,142018
257028,162019
257036,382018
257043,72019
257044,172019
257044,202014
257045,32015
257045,52013
257046,62013
257047,142019
257047,232012
257051,92018
257052,152012
257054,252012
264001,112017
264001,122017
264001,302009
264001,482016
264001,492014
264014,62006
277001,32007
280101,32018
280101,102016
289010,112020
289010,142020
290002,162015
290002,402018
290002,482017
323025,72017
323030,282014
323031,462012
323031,722008
323104,22021
330005,32011
330005,242009
335016,72006
343006,192008
343012,152010
343016,242009
343028,62018
343030,32011
344002,732017
365001,492014
373039,92011
373039,3362018
373040,82010
373047,132009
373050,12017
373055,62009
373066,362015
373067,12015
373082,72007
373082,72011
380007,52018
380030,142014
380039,42012
380039,52016
380931,62017
380940,52014
380942,142012
380947,182017
383514,42019
389090,82014
389147,62019
389168,122020
389183,22017
389241,102019
389297,782017
389337,12019
389343,22017
389444,62019
389449,32018
390004,82014
390004,112007
390015,510012010
393002,32009
393009,4312010
393011,2592016
393011,5082015
393016,3712014
393017,292021
393022,7572009
393025,2622018
393026,22013
395001,92013
399003,392017
399005,392011
400083,182018
403201,172013
403201,252014
403201,332011
413001,132015
425128,532020
425128,672012
440001,92013
440075,62013
443001,112016
443020,52007
443043,22008
450068,932018
450432,72020
450432,262017
450996,432019
452346,152020
453204,62020
453719,42016
453719,122017
453747,152021
456127,362017
456199,1102016
456961,422012
456961,442020
456961,832012
457319,232014
459690,42020
495130,162020
510178,92009
510178,312017
510421,12010
510510,72006
510815,182006
510830,32013
510910,22009
511206,32018
511325,72010
511364,72013
511367,32013
511413,42010
511424,42018
511832,82010
512006,12007
512082,132010
512087,32009
512111,12007
523001,532008
530001,142020
530001,252011
550005,62011
550005,492007
590001,72017
721000,32013
740200,22014
741000,120122009
741000,802952006
742000,292017
742000,582009
742000,1742012
742000,2252014
744030,62008
746000,442007
749000,102012
751500,112009
752000,22018
752000,22020
762300,18922018
762500,22020
762600,162021
764000,42010
764100,82012
765701,72017
765720,852008
765720,992007
765720,1162007
765741,102013
765741,292014
771100,152013
771210,222017
771300,62010
771300,422017
771300,792014
771300,842021
771300,1392012
771300,50412012
782802,142011
783602,222010
783702,272010
783800,42014
784800,232018
784800,432009
784810,372006
785320,42009
785600,192015
785810,282018
786800,242020
786810,32012
786810,672008
786810,872008
787700,52007
788820,132014
788820,162019
788820,442007
788820,632013
789310,42017
791800,82018
803030,16812013
803060,10702009
803080,722013
803080,26232006
803080,26842012
806030,402008
806030,8222019
910809,212018
910809,972016
910811,772013
910811,1052013
910847,592010
910847,872009
910847,1132020
910847,1172014
910847,1172017
910847,1282012
910847,1652011
910847,2832017
910847,3022015
910847,3122008
910847,3242009
910847,3572015
910847,3622012
910847,3732016
925004,242010
925004,352010
925006,902013
925007,232017
925008,152018
925008,282014
925008,352011
925008,612009
925008,672011
925008,752016
925011,302015
925015,62020
925016,552020
925039,1642010
925039,2522010
925039,3092009
925040,22021
925040,122014
925040,242012
925046,52020
925049,2692006
925081,162008
925088,82014
925096,32014
925125,12013
925125,382021
925142,852015
925142,901622009
925144,852014
925146,20182015
925148,901692009
925150,132014
925150,272017
925150,322011
925150,452015
925158,132013
925162,240582020
925162,240742019
925162,240852018
925203,42020
925210,162018
925210,392015
925213,1002020
925217,322017
925217,692015
925282,152014
925282,452021
925302,12008
925307,1282014
925315,12019
925315,82008
925320,22006
925373,1692020
925373,2112014
925373,3782015
925402,92018
925404,212012
925450,422013
925450,1062019
925450,1222017
925450,1812018
925452,102010
925452,272017
925453,42020
925453,192021
925453,292017
925456,12016
925456,22019
925464,102012
925464,192013
925464,252018
925464,352017
925464,672018
925465,122015
925468,92014
925477,162012
925477,972007
925483,342017
925489,82021
925494,852011
925494,862011
925494,1082008
925494,1202011
925494,1362012
925509,292014
925532,102021
925547,22122012
925560,482018
925574,62013
925584,242008
925596,312021
925609,132017
925611,42018
925611,252010
925611,282015
925611,932012
925619,22020
925619,42019
925769,52014
925769,122016
925770,122012
925770,242011
925772,372019
925799,82010
925799,172020
925799,242009
925801,32019
925809,62008
925809,232016
925814,142016
925814,622018
925814,942020
925835,12016
925835,822016
925848,562008
925848,872013
925848,1072009
925852,112018
925853,12008
925856,272014
925856,702016
925856,762017
925856,952009
925856,1332009
925859,132009
925859,242013
925866,372015
925869,142019
925869,242020
925877,32009
925894,352018
925894,382009
925894,1042016
925917,342013
925926,442013
925937,1752014
925942,172015
925942,592015
925942,632014
925942,672011
925957,742015
925958,1682020
925959,262016
925960,42013
925962,1032018
925968,982011
925968,1062013
925968,1472013
925980,442015
926002,82015
926002,542017
926015,82013
926015,422018
926040,92018
926086,52021
926086,262020
926099,322017
926119,182021
926119,492016
926119,1292018
926119,1312015
926119,1742013
926119,1762015
926119,2192019
926119,2712020
926119,4172020
926130,900272015
926136,592016
926136,802016
